lat,lon,global_avg,direct_avg,diffuse_avg,clarity_ratio
55.4,13.0,2912.67,1276.19,371.9,0.44
55.4,13.1,2926.14,1281.05,364.52,0.44
55.4,13.2,2929.21,1281.73,367.67,0.44
55.4,13.3,2890.3,1264.94,358.28,0.44
55.4,13.4,2876.82,1259.22,343.89,0.44
55.4,13.5,2862.39,1253.47,334.23,0.44
55.4,13.6,2944.82,1290.5,351.45,0.44
55.4,13.7,2975.75,1307.38,357.5,0.44
55.4,13.8,3055.21,1342.45,368.6,0.44
55.4,13.9,3143.11,1380.62,409.12,0.44
55.5,12.9,2947.55,1293.74,378.02,0.44
55.5,13.0,2974.17,1301.55,372.97,0.44
55.5,13.1,2903.93,1270.48,344.24,0.44
55.5,13.2,2890.46,1264.2,337.1,0.44
55.5,13.3,2886.48,1262.51,338.98,0.44
55.5,13.4,2925.93,1280.06,348.57,0.44
55.5,13.5,2962.4,1296.55,345.07,0.44
55.5,13.6,3057.22,1337.4,365.54,0.44
55.5,13.7,3111.22,1360.4,374.79,0.44
55.5,13.8,3176.83,1389.19,398.69,0.44
55.5,13.9,3238.63,1416.48,426.03,0.44
55.5,14.0,3323.97,1453.12,457.14,0.44
55.5,14.1,3370.27,1472.71,470.07,0.44
55.6,12.9,2919.74,1279.62,384.92,0.44
55.6,13.0,2931.57,1283.47,367.03,0.44
55.6,13.1,2887.87,1263.82,337.93,0.44
55.6,13.2,2822.22,1235.62,332.21,0.44
55.6,13.3,2830.27,1239.15,340.03,0.44
55.6,13.4,2868.08,1255.4,341.33,0.44
55.6,13.5,2953.03,1290.8,355.81,0.44
55.6,13.6,3026.53,1323.88,365.0,0.44
55.6,13.7,3066.2,1341.43,364.71,0.44
55.6,13.8,3111.66,1359.93,384.67,0.44
55.6,13.9,3145.4,1374.52,412.04,0.44
55.6,14.0,3224.41,1408.48,439.84,0.44
55.6,14.1,3250.78,1419.14,441.17,0.44
55.6,14.2,3309.51,1445.13,451.12,0.44
55.7,12.9,2957.88,1295.82,399.25,0.44
55.7,13.0,2870.3,1258.01,369.62,0.44
55.7,13.1,2864.72,1254.01,365.08,0.44
55.7,13.2,2873.62,1257.76,366.0,0.44
55.7,13.3,2924.33,1279.24,366.74,0.44
55.7,13.4,2921.41,1278.3,358.47,0.44
55.7,13.5,2932.67,1284.33,356.72,0.44
55.7,13.6,3026.99,1329.18,362.63,0.44
55.7,13.7,2999.45,1310.84,353.28,0.44
55.7,13.8,2994.98,1308.51,354.27,0.44
55.7,13.9,3029.48,1322.84,373.53,0.44
55.7,14.0,3067.44,1338.99,407.89,0.44
55.7,14.1,3147.16,1373.21,426.96,0.44
55.7,14.2,3243.62,1417.74,456.63,0.44
55.7,14.3,3228.95,1416.6,452.88,0.44
55.8,12.8,2997.23,1312.26,409.43,0.44
55.8,12.9,2933.87,1284.0,394.3,0.44
55.8,13.0,2936.16,1284.27,383.69,0.44
55.8,13.1,2940.64,1285.98,382.59,0.44
55.8,13.2,2928.73,1280.85,377.47,0.44
55.8,13.3,2861.44,1251.65,347.65,0.44
55.8,13.4,2895.66,1265.62,349.76,0.44
55.8,13.5,2908.51,1270.53,343.34,0.44
55.8,13.6,2908.27,1269.48,346.55,0.44
55.8,13.7,2889.32,1260.66,331.32,0.44
55.8,13.8,2930.66,1277.68,347.07,0.44
55.8,13.9,2949.94,1285.87,347.97,0.44
55.8,14.0,2994.34,1305.26,357.69,0.44
55.8,14.1,3073.44,1341.98,382.22,0.44
55.8,14.2,3093.91,1355.2,384.17,0.44
55.8,14.3,3151.91,1383.12,402.08,0.44
55.9,12.8,3032.97,1327.93,418.08,0.44
55.9,12.9,3010.11,1315.15,390.73,0.44
55.9,13.0,2959.44,1292.43,375.87,0.44
55.9,13.1,2904.25,1268.42,376.78,0.44
55.9,13.2,2843.41,1241.84,365.71,0.44
55.9,13.3,2823.51,1233.08,363.43,0.44
55.9,13.4,2783.09,1215.79,348.11,0.44
55.9,13.5,2813.92,1233.42,344.57,0.44
55.9,13.6,2783.58,1219.01,315.18,0.44
55.9,13.7,2828.72,1234.51,317.64,0.44
55.9,13.8,2821.41,1230.97,308.88,0.44
55.9,13.9,2828.93,1234.15,318.44,0.44
55.9,14.0,2890.17,1262.11,347.78,0.44
55.9,14.1,2899.16,1268.97,350.84,0.44
55.9,14.2,2922.89,1279.59,354.69,0.44
55.9,14.3,3045.89,1338.31,366.36,0.44
55.9,14.4,3031.43,1331.24,366.89,0.44
56.0,12.8,2996.22,1308.1,401.93,0.44
56.0,12.9,2931.89,1278.65,378.96,0.44
56.0,13.0,2867.29,1250.62,367.87,0.44
56.0,13.1,2828.86,1233.6,373.76,0.44
56.0,13.2,2759.12,1202.64,342.55,0.44
56.0,13.3,2689.93,1174.48,327.05,0.44
56.0,13.4,2673.39,1168.17,313.22,0.44
56.0,13.5,2688.32,1173.99,312.6,0.44
56.0,13.6,2706.0,1181.38,307.68,0.44
56.0,13.7,2726.13,1191.11,312.77,0.44
56.0,13.8,2766.97,1208.68,313.05,0.44
56.0,13.9,2780.45,1215.5,312.02,0.44
56.0,14.0,2841.14,1242.56,343.35,0.44
56.0,14.1,2839.67,1243.31,355.94,0.44
56.0,14.2,2872.06,1260.77,357.65,0.44
56.0,14.3,2856.47,1250.38,353.41,0.44
56.0,14.4,2895.23,1267.68,356.83,0.44
56.0,14.5,2938.16,1291.28,353.47,0.44
56.1,12.7,2963.09,1292.45,424.74,0.44
56.1,12.8,2884.23,1257.67,408.88,0.44
56.1,12.9,2798.12,1221.42,382.97,0.44
56.1,13.0,2750.04,1199.36,367.65,0.44
56.1,13.1,2707.53,1180.4,342.17,0.44
56.1,13.2,2648.67,1156.21,332.78,0.44
56.1,13.3,2653.32,1159.03,335.34,0.44
56.1,13.4,2641.32,1153.19,311.04,0.44
56.1,13.5,2670.42,1164.74,322.79,0.44
